Reference,Value,Footprint,Count,Datasheet,Note
SHIELD1,ARDUINO_DUE_SHIELD,arduinodue:ARDUINO_DUE_RAMPS_SHIELD,1,,
SW1,RESET,Buttons_Switches_ThroughHole:SW_PUSH_SMALL,1,,
D1,LED GRN,LEDs:LED_0805,1,,
R1,330R,Resistors_SMD:R_0805,1,,
P2,RESET,Pin_Headers:Pin_Header_Straight_1x02,1,,
Q1,2N7002,TO_SOT_Packages_SMD:SOT-23_GDS,1,,
LOGO1,OPEN_HARDWARE_1,Symbols:Symbol_OSHW-Logo_SilkScreen,1,,
JP3,VSEL,Pin_Headers:Pin_Header_Straight_1x03,1,,
JP4,VIN,Pin_Headers:Pin_Header_Straight_1x02,1,,
P5,POWER_IN,"RAMPS-FD v3:2p-conn-5,08",1,,
P3,HB_IN,"RAMPS-FD v3:2p-conn-5,08",1,,
JP1,VLOG,Pin_Headers:Pin_Header_Straight_1x03,1,,
F2;F3,FUSE 10A,RAMPS-FD v3:FUSE-MINI-AUTO,2,,
P4,MOT_IN,"RAMPS-FD v3:2p-conn-5,08",1,,
P7,PS-ON,Pin_Headers:Pin_Header_Straight_1x01,1,,
C4,100n 35V,Capacitors_SMD:C_0805,1,,
C3,100u 35V,Capacitors_SMD:c_elec_6.3x7.7,1,,
D3;D8;D12;D7;D11;D15;D16,ES1F,Diodes_SMD:DO-214AB,7,,
F1,FUSE 15A,RAMPS-FD v3:FUSE-MINI-AUTO,1,,
U2,LM7812,TO_SOT_Packages_THT:TO-252-2Lead_edit,1,,
C2,100n 16V,Capacitors_SMD:C_0805,1,,
D2,SS10Pxx,TO_SOT_Packages_SMD:TO-277A,1,,If = 10 A
U1,oki-78sr-5h,TO_SOT_Packages_THT:TO-220_Neutral123_Horizontal_OKI_Mod,1,,
C1,22u/35v,Capacitors_SMD:C_0805,1,,
P31,5v aux,Pin_Headers:Pin_Header_Straight_2x05,1,,
P6,12V aux,Pin_Headers:Pin_Header_Straight_2x05,1,,
JP2,5V_SEL,Pin_Headers:Pin_Header_Straight_1x03,1,,
P38,aux5_en,Pin_Headers:Pin_Header_Straight_1x02,1,,
P37,aux12_en,Pin_Headers:Pin_Header_Straight_1x02,1,,
